subject,list,item,list_type,category,intrusion,position,trial_type
51,5,Brooklyn Bridge,heavy,loc,[],23.0,study
51,5,Florence,heavy,loc,[],24.0,study
51,5,teapot,heavy,obj,[],25.0,study
51,5,ketchup,heavy,obj,[],26.0,study
51,5,skateboard,heavy,obj,[],27.0,study
51,5,Cinderella Castle,heavy,loc,0,1.0,recall
51,5,Versailles,heavy,loc,0,2.0,recall
51,5,Salt Flats,heavy,loc,0,3.0,recall
51,5,Jay-Z,heavy,cel,0,4.0,recall
51,5,Ellen Page,heavy,cel,0,5.0,recall
51,5,Reese Witherspoon,heavy,cel,0,6.0,recall
51,5,teapot,heavy,obj,0,7.0,recall
51,5,thermometer,heavy,obj,0,8.0,recall
51,5,whistle,heavy,obj,0,9.0,recall
51,5,Andy Samberg,heavy,cel,0,10.0,recall
51,6,Angelina Jolie,light,cel,[],1.0,study
51,6,Lisa Kudrow,light,cel,[],2.0,study
51,6,Eminem,light,cel,[],3.0,study
51,6,fireplace,light,obj,[],4.0,study
51,6,tire,light,obj,[],5.0,study
51,6,feather,light,obj,[],6.0,study
51,6,Monticello,light,loc,[],7.0,study
51,6,Yankee Stadium,light,loc,[],8.0,study
51,6,Giza Pyramids,light,loc,[],9.0,study
51,6,water gun,light,obj,[],10.0,study
51,6,trash can,light,obj,[],11.0,study
51,6,scarf,light,obj,[],12.0,study
51,6,Trevi Fountain,light,loc,[],13.0,study
51,6,White House,light,loc,[],14.0,study
51,6,Machu Picchu,light,loc,[],15.0,study
51,6,Drake,light,cel,[],16.0,study
51,6,Jessica Simpson,light,cel,[],17.0,study
51,6,Keira Knightley,light,cel,[],18.0,study
51,6,speaker,light,obj,[],19.0,study
51,6,bottle,light,obj,[],20.0,study
51,6,saucepan,light,obj,[],21.0,study
51,6,Louvre,light,loc,[],22.0,study
51,6,Swiss Alps,light,loc,[],23.0,study
51,6,Stonehenge,light,loc,[],24.0,study
51,6,Britney Spears,light,cel,[],25.0,study
51,6,Meryl Streep,light,cel,[],26.0,study
51,6,Johnny Depp,light,cel,[],27.0,study
51,6,Johnny Depp,light,cel,0,1.0,recall
51,6,Louvre,light,loc,0,2.0,recall
51,6,Machu Picchu,light,loc,0,3.0,recall
51,6,Monticello,light,loc,0,4.0,recall
