subject,list,item,input,output,study,recall,repeat,intrusion,category,list_type,item_string,item_string_index
2,3,20.0,21.0,,True,False,0,False,loc,heavy,Venice,215
2,3,21.0,22.0,12.0,True,True,0,False,obj,heavy,perfume,160
2,3,22.0,23.0,,True,False,0,False,obj,heavy,calculator,86
2,3,23.0,24.0,13.0,True,True,0,False,obj,heavy,sink,24
2,3,24.0,25.0,,True,False,0,False,cel,heavy,Ben Stiller,211
2,3,25.0,26.0,,True,False,0,False,cel,heavy,Elton John,84
2,3,26.0,27.0,11.0,True,True,0,False,cel,heavy,Alicia Keys,42
2,4,0.0,1.0,10.0,True,True,0,False,loc,light,Vatican City,29
2,4,1.0,2.0,11.0,True,True,0,False,loc,light,Versailles,49
2,4,2.0,3.0,12.0,True,True,0,False,loc,light,Florida Keys,166
2,4,3.0,4.0,,True,False,0,False,cel,light,Ricky Martin,79
2,4,4.0,5.0,3.0,True,True,0,False,cel,light,Larry King,181
2,4,5.0,6.0,4.0,True,True,0,False,cel,light,Kobe Bryant,212
2,4,6.0,7.0,8.0,True,True,0,False,obj,light,soap,179
2,4,7.0,8.0,14.0,True,True,0,False,obj,light,lantern,11
2,4,8.0,9.0,13.0,True,True,0,False,obj,light,saucepan,187
2,4,9.0,10.0,,True,False,0,False,cel,light,Simon Cowell,1
2,4,10.0,11.0,2.0,True,True,0,False,cel,light,Harrison Ford,206
2,4,11.0,12.0,1.0,True,True,0,False,cel,light,Reese Witherspoon,182
2,4,12.0,13.0,7.0,True,True,0,False,obj,light,bottle,85
2,4,13.0,14.0,,True,False,0,False,obj,light,shovel,76
2,4,14.0,15.0,,True,False,0,False,obj,light,football,139
2,4,15.0,16.0,,True,False,0,False,loc,light,Tower of Pisa,126
2,4,16.0,17.0,,True,False,0,False,loc,light,Pompeii,6
2,4,17.0,18.0,6.0,True,True,0,False,loc,light,Masada,172
2,4,18.0,19.0,,True,False,0,False,cel,light,Jonah Hill,109
2,4,19.0,20.0,,True,False,0,False,cel,light,Lindsay Lohan,58
2,4,20.0,21.0,5.0,True,True,0,False,cel,light,Sofia Vergara,111
2,4,21.0,22.0,,True,False,0,False,loc,light,Churchill Downs,153
2,4,22.0,23.0,,True,False,0,False,loc,light,Giza Pyramids,138
2,4,23.0,24.0,,True,False,0,False,loc,light,Monte Carlo,88
2,4,24.0,25.0,,True,False,0,False,obj,light,bell,112
2,4,25.0,26.0,9.0,True,True,0,False,obj,light,feather,209
2,4,26.0,27.0,,True,False,0,False,obj,light,candle,135
2,5,0.0,1.0,11.0,True,True,0,False,loc,heavy,Machu Picchu,75
2,5,1.0,2.0,,True,False,0,False,loc,heavy,Timbuktu,158
2,5,2.0,3.0,,True,False,0,False,loc,heavy,Mall of America,185
2,5,3.0,4.0,,True,False,0,False,obj,heavy,printer,9
2,5,4.0,5.0,,True,False,0,False,obj,heavy,bicycle,208
2,5,5.0,6.0,,True,False,0,False,obj,heavy,scarf,177
2,5,6.0,7.0,,True,False,0,False,cel,heavy,Mariah Carey,20
2,5,7.0,8.0,1.0,True,True,0,False,cel,heavy,Taylor Swift,142
2,5,8.0,9.0,,True,False,0,False,cel,heavy,Ian McKellan,105
2,5,9.0,10.0,,True,False,0,False,obj,heavy,cigar,53
2,5,10.0,11.0,,True,False,0,False,obj,heavy,acorn,4
2,5,11.0,12.0,,True,False,0,False,obj,heavy,hanger,54
2,5,12.0,13.0,13.0,True,True,0,False,cel,heavy,Owen Wilson,156
2,5,13.0,14.0,,True,False,0,False,cel,heavy,Tobey Maguire,180
2,5,14.0,15.0,3.0,True,True,0,False,cel,heavy,Ellen Page,69
2,5,15.0,16.0,6.0,True,True,0,False,loc,heavy,Lincoln Memorial,30
2,5,16.0,17.0,,True,False,0,False,loc,heavy,Coney Island,124
2,5,17.0,18.0,10.0,True,True,0,False,loc,heavy,Petra,65
2,5,18.0,19.0,2.0,True,True,0,False,cel,heavy,Keira Knightley,81
2,5,19.0,20.0,7.0,True,True,0,False,cel,heavy,Adam Sandler,41
2,5,20.0,21.0,4.0,True,True,0,False,cel,heavy,Madonna,150
2,5,21.0,22.0,5.0,True,True,0,False,obj,heavy,stamp,10
2,5,22.0,23.0,,True,False,0,False,obj,heavy,flower,77
2,5,23.0,24.0,,True,False,0,False,obj,heavy,trash can,190
2,5,24.0,25.0,8.0,True,True,0,False,loc,heavy,San Francisco,198
2,5,25.0,26.0,9.0,True,True,0,False,loc,heavy,Brooklyn Bridge,159
2,5,26.0,27.0,12.0,True,True,0,False,loc,heavy,Barcelona Cathedral,45
2,6,0.0,1.0,4.0,True,True,0,False,cel,light,Alec Baldwin,34
2,6,1.0,2.0,5.0,True,True,0,False,cel,light,Sylvester Stallone,196
2,6,2.0,3.0,1.0,True,True,0,False,cel,light,Jennifer Lawrence,210
2,6,3.0,4.0,7.0,True,True,0,False,obj,light,briefcase,26
2,6,4.0,5.0,6.0,True,True,0,False,obj,light,basket,38
2,6,5.0,6.0,8.0,True,True,0,False,obj,light,keychain,33
2,6,6.0,7.0,,True,False,0,False,loc,light,Florence,173
2,6,7.0,8.0,,True,False,0,False,loc,light,Salt Flats,73
2,6,8.0,9.0,10.0,True,True,0,False,loc,light,Alamo,131
2,6,9.0,10.0,,True,False,0,False,obj,light,ladder,97
2,6,10.0,11.0,,True,False,0,False,obj,light,teapot,31
2,6,11.0,12.0,,True,False,0,False,obj,light,anchor,134
2,6,12.0,13.0,,True,False,0,False,cel,light,Cameron Diaz,59
2,6,13.0,14.0,2.0,True,True,0,False,cel,light,Emma Watson,12
2,6,14.0,15.0,,True,False,0,False,cel,light,Brad Pitt,48
2,6,15.0,16.0,14.0,True,True,0,False,loc,light,Delphi,23
2,6,16.0,17.0,,True,False,0,False,loc,light,Indianapolis Speedway,184
2,6,17.0,18.0,,True,False,0,False,loc,light,Petronas Towers,95
2,6,18.0,19.0,,True,False,0,False,obj,light,book,161
2,6,19.0,20.0,,True,False,0,False,obj,light,hammer,186
