subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
49,8,181.3417448373155,free_2_start_drift_rate_Semantic_CMR,0.9863391493157233,0.8442771750712676,0.010740484218653035,0.30059393776406995,0.5435885210155154,0.017371532593100703,0.7664499763112468,0.3696859794519785,1.783342661467799,92.94267824905853,0.006658544788091247,0.667181031472321,0.3809620028081442,1.558291303314296,0.14259915385179484,1.6794715606519315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,303.4354000472049,free_2_start_drift_rate_Semantic_CMR,0.6995624626259427,0.17552758811617736,0.5281538694222863,0.46220717075554013,0.6459040980994719,0.5968358795990247,0.031097980787427537,0.7175812481310444,0.5034245922410392,34.415347877713785,0.00308219708611418,0.3621054728146298,0.3109347848641839,8.174616076278095,0.6533777779792909,0.5702347463822033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,271.7919426657143,free_2_start_drift_rate_Semantic_CMR,0.4863172632152318,0.3124383207397192,0.49211191806552196,0.8192607223881883,0.9720088707661705,0.44890999210000226,0.8419536114181081,0.3760932869478209,0.23866913041278082,31.53161084789001,0.014635607068625878,0.2909508142930042,0.15638847444445592,5.713875837836257,0.46336585652963225,0.5171450736756897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,258.498597301544,free_2_start_drift_rate_Semantic_CMR,0.4795245019443248,0.4256573250532873,0.30356607265423274,0.7372658261319903,0.9840988886963945,0.7454852573267883,0.352374547626083,0.24626848796900827,3.8178439432445597,63.70213133704624,0.007020263099695634,0.40204607895913796,0.2757064103415148,5.048335614545444,0.648037682758082,0.0694962323529816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,263.05772018404593,free_2_start_drift_rate_Semantic_CMR,0.7756215775094802,0.1054502497539867,0.12695540956557722,0.9651530769261724,0.625107536955227,0.5406254447484995,0.14010649568614036,0.33273550860552037,9.563815502072224,97.21252272202923,0.00933455032798991,0.2368785684680299,0.35945992667573634,6.256103781970842,0.2979273258075027,0.5907930175635654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,219.03454198521024,free_2_start_drift_rate_Semantic_CMR,0.5134181951661909,0.6590582459144977,0.3946757045150498,0.8117301413997622,0.04615327113655665,0.0819445914387868,0.3684480953937573,0.9581743466125009,0.7751964578343404,58.94377257081862,0.023376879157868735,0.2690810965420356,0.18116097710150658,2.58483859158627,0.2974493258383556,0.21723594022274106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,302.3200382579162,free_2_start_drift_rate_Semantic_CMR,0.7177222104293955,0.021351951860812846,0.9848261786501548,0.271333709196009,0.2785222612731615,0.8405561491083575,0.5743651561545233,0.5023526887498228,19.060777179761924,1.0102804960433502,0.0031206251596730405,0.4451119635976166,0.257462815561186,5.278590183164379,0.08391196678027824,0.7637238699532443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8,277.7173498162804,free_2_start_drift_rate_Semantic_CMR,0.7132576980595553,0.08796955949841462,0.10570549481631825,0.12512888465666766,0.9367826299846407,0.497835584499979,0.9006699837076284,0.5756172817977068,18.31495620377815,0.6090965086773394,0.004590730166286527,0.4025084133662631,0.1649680268045275,2.4079641466965644,0.3368662438300374,4.175037013181337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8,250.62344297314047,free_2_start_drift_rate_Semantic_CMR,0.5525388991176158,0.23634926114991373,0.40251342025422615,0.21288376273463316,0.3433370042782259,0.4671788923211,0.4006519158794674,0.25155045158566625,0.20982824056460458,50.33051052417464,0.0161793605949464,0.23171373731609446,0.3129415235585151,4.811673434085507,0.41565336034496986,0.8108416248015837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8,250.03709789152623,free_2_start_drift_rate_Semantic_CMR,0.5504867888433519,0.5028601152230454,0.9985741143578176,0.06680977786721937,0.963111335312729,0.44039570974946984,0.8742852436162283,0.6241303003420058,0.1877145926608179,3.216377543899192,0.015482939393489437,0.3605531062627172,0.19466632612485313,5.04711912836299,0.21704574204529892,0.5332734872119973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
