index,subject,input,recall,source
6,46,7,0.75,data
7,46,8,0.0,data
8,46,9,0.0,data
9,46,10,0.75,data
10,46,11,0.0,data
11,46,12,0.25,data
12,46,13,0.25,data
13,46,14,0.5,data
14,46,15,0.75,data
15,46,16,0.75,data
16,46,17,0.25,data
17,46,18,0.75,data
18,46,19,0.5,data
19,46,20,0.75,data
20,46,21,0.5,data
21,46,22,0.75,data
22,46,23,0.5,data
23,46,24,0.5,data
24,46,25,0.75,data
25,46,26,0.75,data
26,46,27,1.0,data
0,47,1,0.5,data
1,47,2,0.25,data
2,47,3,0.0,data
3,47,4,0.25,data
4,47,5,0.5,data
5,47,6,0.25,data
6,47,7,0.5,data
7,47,8,0.25,data
8,47,9,0.0,data
9,47,10,0.0,data
10,47,11,0.0,data
11,47,12,0.5,data
12,47,13,0.5,data
13,47,14,0.5,data
14,47,15,0.25,data
15,47,16,0.0,data
16,47,17,0.25,data
17,47,18,0.25,data
18,47,19,0.25,data
19,47,20,0.5,data
20,47,21,0.0,data
21,47,22,0.75,data
22,47,23,0.25,data
23,47,24,1.25,data
24,47,25,1.0,data
25,47,26,0.75,data
