index,subject,bin,prob,source
3,7,1.0,0.042760011375093714,Base_CMR
4,7,1.0,,Base_CMR
5,7,1.0,,Base_CMR
6,7,1.0,,Base_CMR
7,7,1.0,,Base_CMR
8,7,1.0,,Base_CMR
9,7,1.0,,Base_CMR
0,8,0.0,0.049398016997167137,Base_CMR
1,8,0.0,,Base_CMR
2,8,0.0,,Base_CMR
3,8,1.0,0.037980606753840955,Base_CMR
4,8,1.0,,Base_CMR
5,8,1.0,,Base_CMR
6,8,1.0,,Base_CMR
7,8,1.0,,Base_CMR
8,8,1.0,,Base_CMR
9,8,1.0,,Base_CMR
0,9,0.0,0.08599699357417778,Base_CMR
1,9,0.0,,Base_CMR
2,9,0.0,,Base_CMR
3,9,1.0,0.042099754321185075,Base_CMR
4,9,1.0,,Base_CMR
5,9,1.0,,Base_CMR
6,9,1.0,,Base_CMR
7,9,1.0,,Base_CMR
8,9,1.0,,Base_CMR
9,9,1.0,,Base_CMR
0,10,0.0,0.051195243796705335,Base_CMR
1,10,0.0,,Base_CMR
2,10,0.0,,Base_CMR
3,10,1.0,0.044949882938249926,Base_CMR
4,10,1.0,,Base_CMR
5,10,1.0,,Base_CMR
6,10,1.0,,Base_CMR
7,10,1.0,,Base_CMR
8,10,1.0,,Base_CMR
9,10,1.0,,Base_CMR
0,11,0.0,0.0566995645228352,Base_CMR
1,11,0.0,,Base_CMR
2,11,0.0,,Base_CMR
3,11,1.0,0.041937127965457885,Base_CMR
4,11,1.0,,Base_CMR
5,11,1.0,,Base_CMR
6,11,1.0,,Base_CMR
7,11,1.0,,Base_CMR
8,11,1.0,,Base_CMR
9,11,1.0,,Base_CMR
0,12,0.0,0.06084583064986046,Base_CMR
1,12,0.0,,Base_CMR
2,12,0.0,,Base_CMR
3,12,1.0,0.03536151189870707,Base_CMR
4,12,1.0,,Base_CMR
5,12,1.0,,Base_CMR
6,12,1.0,,Base_CMR
7,12,1.0,,Base_CMR
8,12,1.0,,Base_CMR
9,12,1.0,,Base_CMR
0,13,0.0,0.05825153232867874,Base_CMR
1,13,0.0,,Base_CMR
2,13,0.0,,Base_CMR
3,13,1.0,0.042987668389564936,Base_CMR
4,13,1.0,,Base_CMR
5,13,1.0,,Base_CMR
6,13,1.0,,Base_CMR
7,13,1.0,,Base_CMR
8,13,1.0,,Base_CMR
9,13,1.0,,Base_CMR
0,14,0.0,0.05516353887399464,Base_CMR
1,14,0.0,,Base_CMR
2,14,0.0,,Base_CMR
3,14,1.0,0.04847655953195046,Base_CMR
4,14,1.0,,Base_CMR
5,14,1.0,,Base_CMR
6,14,1.0,,Base_CMR
7,14,1.0,,Base_CMR
8,14,1.0,,Base_CMR
9,14,1.0,,Base_CMR
0,15,0.0,0.06535936795336485,Base_CMR
1,15,0.0,,Base_CMR
2,15,0.0,,Base_CMR
3,15,1.0,0.04690333328419159,Base_CMR
4,15,1.0,,Base_CMR
5,15,1.0,,Base_CMR
6,15,1.0,,Base_CMR
7,15,1.0,,Base_CMR
8,15,1.0,,Base_CMR
9,15,1.0,,Base_CMR
0,16,0.0,0.04621518947599761,Base_CMR
1,16,0.0,,Base_CMR
2,16,0.0,,Base_CMR
3,16,1.0,0.042721277334258935,Base_CMR
4,16,1.0,,Base_CMR
5,16,1.0,,Base_CMR
6,16,1.0,,Base_CMR
7,16,1.0,,Base_CMR
8,16,1.0,,Base_CMR
9,16,1.0,,Base_CMR
0,17,0.0,0.06385430638731981,Base_CMR
