index,subject,input,recall,source
12,124,13,0.0,data
13,124,14,0.03571428571428571,data
14,124,15,0.03571428571428571,data
15,124,16,0.9285714285714286,data
0,125,1,0.03571428571428571,data
1,125,2,0.0,data
2,125,3,0.0,data
3,125,4,0.0,data
4,125,5,0.0,data
5,125,6,0.0,data
6,125,7,0.0,data
7,125,8,0.0,data
8,125,9,0.0,data
9,125,10,0.0,data
10,125,11,0.03571428571428571,data
11,125,12,0.07142857142857142,data
12,125,13,0.03571428571428571,data
13,125,14,0.17857142857142858,data
14,125,15,0.25,data
15,125,16,0.39285714285714285,data
0,127,1,0.0,data
1,127,2,0.0,data
2,127,3,0.0,data
3,127,4,0.0,data
4,127,5,0.0,data
5,127,6,0.0,data
6,127,7,0.0,data
7,127,8,0.0,data
8,127,9,0.0,data
9,127,10,0.0,data
10,127,11,0.03571428571428571,data
11,127,12,0.03571428571428571,data
12,127,13,0.07142857142857142,data
13,127,14,0.07142857142857142,data
14,127,15,0.14285714285714285,data
15,127,16,0.6428571428571429,data
0,128,1,0.0,data
1,128,2,0.0,data
2,128,3,0.0,data
3,128,4,0.0,data
4,128,5,0.0,data
5,128,6,0.0,data
6,128,7,0.0,data
7,128,8,0.0,data
8,128,9,0.0,data
9,128,10,0.03571428571428571,data
10,128,11,0.0,data
11,128,12,0.10714285714285714,data
12,128,13,0.14285714285714285,data
13,128,14,0.14285714285714285,data
14,128,15,0.2857142857142857,data
15,128,16,0.2857142857142857,data
0,130,1,0.07142857142857142,data
1,130,2,0.0,data
2,130,3,0.0,data
3,130,4,0.0,data
4,130,5,0.0,data
5,130,6,0.0,data
6,130,7,0.0,data
7,130,8,0.0,data
8,130,9,0.0,data
9,130,10,0.0,data
10,130,11,0.0,data
11,130,12,0.10714285714285714,data
12,130,13,0.03571428571428571,data
13,130,14,0.07142857142857142,data
14,130,15,0.21428571428571427,data
15,130,16,0.5,data
0,131,1,0.07142857142857142,data
1,131,2,0.03571428571428571,data
2,131,3,0.0,data
3,131,4,0.0,data
4,131,5,0.0,data
5,131,6,0.0,data
6,131,7,0.0,data
7,131,8,0.0,data
8,131,9,0.07142857142857142,data
9,131,10,0.0,data
10,131,11,0.0,data
11,131,12,0.07142857142857142,data
12,131,13,0.07142857142857142,data
13,131,14,0.32142857142857145,data
14,131,15,0.14285714285714285,data
15,131,16,0.21428571428571427,data
0,132,1,0.03571428571428571,data
1,132,2,0.0,data
2,132,3,0.0,data
3,132,4,0.0,data
4,132,5,0.0,data
5,132,6,0.0,data
6,132,7,0.0,data
7,132,8,0.0,data
8,132,9,0.0,data
9,132,10,0.0,data
10,132,11,0.0,data
11,132,12,0.10714285714285714,data
12,132,13,0.07142857142857142,data
13,132,14,0.07142857142857142,data
14,132,15,0.2857142857142857,data
15,132,16,0.42857142857142855,data
0,133,1,0.0,data
1,133,2,0.0,data
2,133,3,0.0,data
3,133,4,0.0,data
4,133,5,0.03571428571428571,data
5,133,6,0.0,data
6,133,7,0.0,data
7,133,8,0.0,data
8,133,9,0.0,data
9,133,10,0.0,data
10,133,11,0.0,data
11,133,12,0.0,data
12,133,13,0.0,data
13,133,14,0.0,data
14,133,15,0.03571428571428571,data
15,133,16,0.9285714285714286,data
0,134,1,0.14285714285714285,data
1,134,2,0.0,data
2,134,3,0.0,data
3,134,4,0.0,data
4,134,5,0.0,data
5,134,6,0.0,data
6,134,7,0.0,data
7,134,8,0.0,data
8,134,9,0.0,data
9,134,10,0.0,data
10,134,11,0.0,data
11,134,12,0.0,data
12,134,13,0.0,data
13,134,14,0.10714285714285714,data
14,134,15,0.21428571428571427,data
15,134,16,0.5357142857142857,data
0,135,1,0.14285714285714285,data
1,135,2,0.0,data
2,135,3,0.0,data
3,135,4,0.0,data
4,135,5,0.0,data
5,135,6,0.0,data
6,135,7,0.0,data
7,135,8,0.0,data
8,135,9,0.0,data
9,135,10,0.0,data
10,135,11,0.0,data
11,135,12,0.0,data
12,135,13,0.0,data
13,135,14,0.03571428571428571,data
14,135,15,0.10714285714285714,data
15,135,16,0.7142857142857143,data
0,136,1,0.0,data
1,136,2,0.0,data
2,136,3,0.03571428571428571,data
3,136,4,0.0,data
4,136,5,0.0,data
5,136,6,0.03571428571428571,data
6,136,7,0.0,data
7,136,8,0.0,data
8,136,9,0.0,data
9,136,10,0.07142857142857142,data
10,136,11,0.07142857142857142,data
11,136,12,0.14285714285714285,data
12,136,13,0.07142857142857142,data
13,136,14,0.35714285714285715,data
14,136,15,0.10714285714285714,data
15,136,16,0.10714285714285714,data
0,137,1,0.14285714285714285,data
1,137,2,0.03571428571428571,data
2,137,3,0.03571428571428571,data
3,137,4,0.03571428571428571,data
4,137,5,0.0,data
5,137,6,0.0,data
6,137,7,0.0,data
7,137,8,0.07142857142857142,data
8,137,9,0.0,data
9,137,10,0.03571428571428571,data
10,137,11,0.03571428571428571,data
11,137,12,0.10714285714285714,data
12,137,13,0.07142857142857142,data
13,137,14,0.14285714285714285,data
14,137,15,0.14285714285714285,data
