subject,list,item,input,output,study,recall,repeat,intrusion,first_input,prior_list,prior_input,list_length
63,9,33,34,,True,False,0,False,34,,,60
63,9,34,35,,True,False,0,False,35,,,60
63,9,35,36,,True,False,0,False,36,,,60
63,9,36,37,,True,False,0,False,37,,,60
63,9,37,38,,True,False,0,False,38,,,60
63,9,38,39,,True,False,0,False,39,,,60
63,9,39,40,,True,False,0,False,40,,,60
63,9,40,41,,True,False,0,False,41,,,60
63,9,41,42,2.0,True,True,0,False,42,,,60
63,9,42,43,,True,False,0,False,43,,,60
63,9,43,44,,True,False,0,False,44,,,60
63,9,44,45,,True,False,0,False,45,,,60
